sample_name	birthplace	date_startcollection	cohort	mouse_line	site_line	host_age	host_age_units	group_study	representation	body_site	collection_method	line_site	origmouse_name	mouse_id	estrous_stage	Prog_high	Prog_transition	Prog_mix	Estrogen_hi	tp_days	treatment	swabGBS_CFU	VTGBS_CFU	CGBS_CFU	UGBS_CFU	VS_clearD1	VS_clearD3	VS_clearD7	Uterine_clearance	study_topic	vivarium	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	CST	CST_categorical
HMBd3m04	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	metestrus	ProgHi	ProgHiTransition	mix1	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl174	adult	Mus musculus	1	I
HMBd3m05	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB05a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl173	adult	Mus musculus	1	I
HMBd3m06	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB06a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl172	adult	Mus musculus	3	III
HMBd3m07	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB07a	metestrus	ProgHi	ProgHiTransition	mix1	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl171	adult	Mus musculus	2	II
HMBd3m08	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB08a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl170	adult	Mus musculus	1	I
HMBd3m09	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB09a	metestrus	ProgHi	ProgHiTransition	mix1	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl169	adult	Mus musculus	1	I
HMBd3m10	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl168	adult	Mus musculus	1	I
HMBd3m11	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB11a	metestrus	ProgHi	ProgHiTransition	mix1	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl167	adult	Mus musculus	1	I
HMBd3m12	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB12a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl166	adult	Mus musculus	1	I
HMBd3m13	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl165	adult	Mus musculus	1	I
HMBd3m14	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB14a	diestrus	ProgHi	ProLoTransition	mix2	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl164	adult	Mus musculus	1	I
HMBd3m15	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB15a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl163	adult	Mus musculus	1	I
HMBd3m16	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB16a	diestrus	ProgHi	ProLoTransition	mix2	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl162	adult	Mus musculus	1	I
HMBd3m17	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	metestrus	ProgHi	ProgHiTransition	mix1	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl161	adult	Mus musculus	3	III
HMBd3m18	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB18a	diestrus	ProgHi	ProLoTransition	mix2	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl160	adult	Mus musculus	1	I
HMBd3m19	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB19a	diestrus	ProgHi	ProLoTransition	mix2	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl159	adult	Mus musculus	1	I
HMBd3m20	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB20a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl158	adult	Mus musculus	5	V
HMBd3m21	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB21a	diestrus	ProgHi	ProLoTransition	mix2	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl157	adult	Mus musculus	1	I
HMBd4m04	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	diestrus	ProgHi	ProLoTransition	mix2	none	4	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl156	adult	Mus musculus	1	I
HMBd4m10	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	diestrus	ProgHi	ProLoTransition	mix2	none	4	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl155	adult	Mus musculus	3	III
HMBd4m13	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	4	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl154	adult	Mus musculus	1	I
HMBd4m17	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	diestrus	ProgHi	ProLoTransition	mix2	none	4	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl153	adult	Mus musculus	1	I
HMBd4m21	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB21a	diestrus	ProgHi	ProLoTransition	mix2	none	4	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl152	adult	Mus musculus	3	III
HMBd5m04	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	diestrus	ProgHi	ProLoTransition	mix2	none	5	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl151	adult	Mus musculus	1	I
HMBd5m10	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	5	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl150	adult	Mus musculus	3	III
HMBd5m13	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	5	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl149	adult	Mus musculus	1	I
HMBd5m17	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	5	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl148	adult	Mus musculus	3	III
HMBd5m21	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB21a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	5	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl147	adult	Mus musculus	1	I
HMBd6m01	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB01a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl146	adult	Mus musculus	3	III
HMBd6m02	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB02a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl145	adult	Mus musculus	3	III
HMBd6m03	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB03a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl144	adult	Mus musculus	3	III
HMBd6m04	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl143	adult	Mus musculus	1	I
HMBd6m05	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB05a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl142	adult	Mus musculus	1	I
HMBd6m06	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB06a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl141	adult	Mus musculus	1	I
HMBd6m07	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB07a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl140	adult	Mus musculus	2	II
HMBd6m08	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB08a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl139	adult	Mus musculus	1	I
HMBd6m09	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB09a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl138	adult	Mus musculus	1	I
HMBd6m10	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10a	estrus	ProLo	ProgHiTransition	mix2	none	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl137	adult	Mus musculus	1	I
HMBd6m11	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB11a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl136	adult	Mus musculus	1	I
HMBd6m12	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB12a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl135	adult	Mus musculus	1	I
HMBd6m13	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl134	adult	Mus musculus	2	II
HMBd6m14	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB14a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl133	adult	Mus musculus	1	I
HMBd6m15	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB15a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl132	adult	Mus musculus	1	I
HMBd6m16	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB16a	diestrus	ProgHi	ProLoTransition	mix2	none	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl131	adult	Mus musculus	1	I
HMBd6m17	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB17a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl130	adult	Mus musculus	1	I
HMBd6m18	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB18a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl129	adult	Mus musculus	1	I
HMBd6m19	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB19a	diestrus	ProgHi	ProLoTransition	mix2	none	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl128	adult	Mus musculus	1	I
HMBd6m20	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB20a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl127	adult	Mus musculus	2	II
HMBd6m21	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB21a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl126	adult	Mus musculus	1	I
HMBd6m22	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB22a	diestrus	ProgHi	ProLoTransition	mix2	none	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl125	adult	Mus musculus	1	I
HMBd6m23	BCM	8/6/21	2021Aug	HMB	BCM_HMB	6344.857143	weeks	d	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB23a	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl124	adult	Mus musculus	1	I
HMBpt2d0m01	BCM	2/1/22	2022FebA	HMB	BCM_HMB	6370.428571	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB01b	diestrus	ProgHi	ProLoTransition	mix2	none	0	None									HMBestrous_staging	BCM_TMF	reproductive system	mucus	vagina	C57/Bl123	adult	Mus musculus	2	II
HMBpt2d0m02	BCM	2/1/22	2022FebA	HMB	BCM_HMB	6370.428571	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB02b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	0	None									HMBestrous_staging	BCM_TMF	reproductive system	mucus	vagina	C57/Bl122	adult	Mus musculus	4	IV
HMBpt2d0m03	BCM	2/1/22	2022FebA	HMB	BCM_HMB	6370.428571	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB03b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	0	None									HMBestrous_staging	BCM_TMF	reproductive system	mucus	vagina	C57/Bl121	adult	Mus musculus	4	IV
HMBpt2d0m04	BCM	2/1/22	2022FebA	HMB	BCM_HMB	6370.428571	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04b	diestrus	ProgHi	ProLoTransition	mix2	none	0	None									HMBestrous_staging	BCM_TMF	reproductive system	mucus	vagina	C57/Bl120	adult	Mus musculus	4	IV
HMBpt2d0m05	BCM	2/1/22	2022FebA	HMB	BCM_HMB	6370.428571	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB05b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	0	None									HMBestrous_staging	BCM_TMF	reproductive system	mucus	vagina	C57/Bl119	adult	Mus musculus	3	III
HMBpt2d0m06	BCM	2/1/22	2022FebA	HMB	BCM_HMB	6370.428571	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB06b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	0	None									HMBestrous_staging	BCM_TMF	reproductive system	mucus	vagina	C57/Bl118	adult	Mus musculus	4	IV
HMBpt2d0m08	BCM	2/1/22	2022FebA	HMB	BCM_HMB	6370.428571	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB08b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	0	None									HMBestrous_staging	BCM_TMF	reproductive system	mucus	vagina	C57/Bl117	adult	Mus musculus	4	IV
HMBpt2d0m09	BCM	2/1/22	2022FebA	HMB	BCM_HMB	6370.428571	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB09b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	0	None									HMBestrous_staging	BCM_TMF	reproductive system	mucus	vagina	C57/Bl116	adult	Mus musculus	5	V
HMBpt2d0m10	BCM	2/1/22	2022FebA	HMB	BCM_HMB	6370.428571	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	0	None									HMBestrous_staging	BCM_TMF	reproductive system	mucus	vagina	C57/Bl115	adult	Mus musculus	4	IV
HMBpt2d0m11	BCM	2/1/22	2022FebA	HMB	BCM_HMB	6370.428571	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB11b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	0	None									HMBestrous_staging	BCM_TMF	reproductive system	mucus	vagina	C57/Bl114	adult	Mus musculus	4	IV
HMBpt2d0m12	BCM	2/1/22	2022FebA	HMB	BCM_HMB	6370.428571	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB12b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	0	None									HMBestrous_staging	BCM_TMF	reproductive system	mucus	vagina	C57/Bl113	adult	Mus musculus	4	IV
HMBpt2d0m13	BCM	2/1/22	2022FebA	HMB	BCM_HMB	6370.428571	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	0	None									HMBestrous_staging	BCM_TMF	reproductive system	mucus	vagina	C57/Bl112	adult	Mus musculus	4	IV
HMBpt2d3m01	BCM	2/4/22	2022FebA	HMB	BCM_HMB	6370.857143	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB01b	diestrus	ProgHi	ProLoTransition	mix2	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl111	adult	Mus musculus	2	II
HMBpt2d3m02	BCM	2/4/22	2022FebA	HMB	BCM_HMB	6370.857143	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB02b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl110	adult	Mus musculus	5	V
HMBpt2d3m03	BCM	2/4/22	2022FebA	HMB	BCM_HMB	6370.857143	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB03b	metestrus	ProgHi	ProgHiTransition	mix1	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl109	adult	Mus musculus	5	V
HMBpt2d3m04	BCM	2/4/22	2022FebA	HMB	BCM_HMB	6370.857143	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl108	adult	Mus musculus	4	IV
HMBpt2d3m06	BCM	2/4/22	2022FebA	HMB	BCM_HMB	6370.857143	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB06b	estrus	ProLo	ProgHiTransition	mix2	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl107	adult	Mus musculus	3	III
HMBpt2d3m08	BCM	2/4/22	2022FebA	HMB	BCM_HMB	6370.857143	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB08b	metestrus	ProgHi	ProgHiTransition	mix1	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl106	adult	Mus musculus	4	IV
HMBpt2d3m09	BCM	2/4/22	2022FebA	HMB	BCM_HMB	6370.857143	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB09b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl105	adult	Mus musculus	5	V
HMBpt2d3m10	BCM	2/4/22	2022FebA	HMB	BCM_HMB	6370.857143	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB10b	diestrus	ProgHi	ProLoTransition	mix2	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl104	adult	Mus musculus	4	IV
HMBpt2d3m11	BCM	2/4/22	2022FebA	HMB	BCM_HMB	6370.857143	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB11b	diestrus	ProgHi	ProLoTransition	mix2	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl103	adult	Mus musculus	4	IV
HMBpt2d3m12	BCM	2/4/22	2022FebA	HMB	BCM_HMB	6370.857143	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB12b	diestrus	ProgHi	ProLoTransition	mix2	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl102	adult	Mus musculus	3	III
HMBpt2d3m13	BCM	2/4/22	2022FebA	HMB	BCM_HMB	6370.857143	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB13b	metestrus	ProgHi	ProgHiTransition	mix1	none	3	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl101	adult	Mus musculus	5	V
HMBpt2d6m01	BCM	2/7/22	2022FebA	HMB	BCM_HMB	6371.285714	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB01b	metestrus	ProgHi	ProgHiTransition	mix1	none	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl100	adult	Mus musculus	2	II
HMBpt2d6m02	BCM	2/7/22	2022FebA	HMB	BCM_HMB	6371.285714	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB02b	estrus	ProLo	ProgHiTransition	mix2	none	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl99	adult	Mus musculus	2	II
HMBpt2d6m03	BCM	2/7/22	2022FebA	HMB	BCM_HMB	6371.285714	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB03b	diestrus	ProgHi	ProLoTransition	mix2	none	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl98	adult	Mus musculus	4	IV
HMBpt2d6m04	BCM	2/7/22	2022FebA	HMB	BCM_HMB	6371.285714	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB04b	metestrus	ProgHi	ProgHiTransition	mix1	none	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl97	adult	Mus musculus	5	V
HMBpt2d6m05	BCM	2/7/22	2022FebA	HMB	BCM_HMB	6371.285714	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB05b	metestrus	ProgHi	ProgHiTransition	mix1	none	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl96	adult	Mus musculus	3	III
HMBpt2d6m06	BCM	2/7/22	2022FebA	HMB	BCM_HMB	6371.285714	weeks	e	vaginal community	vaginal tract	vaginal swab	HMB_vaginal tract		HMB06b	proestrus	ProLo	ProLoTransition	mix1	Estrogen	6	None									HMBestrous_staging	BCM_Taub	reproductive system	mucus	vagina	C57/Bl95	adult	Mus musculus	5	V
